player_id,event_date,play_time,matches_played,avg_score,is_churn
P00001,2023-02-21,279,25,80.61798164327799,1
P00002,2023-04-03,240,18,77.62632367108165,0
P00003,2023-01-15,349,22,52.32247690549108,0
P00004,2023-03-13,287,29,75.25666455053712,0
P00005,2023-03-02,389,23,76.78140262531737,0
P00006,2023-01-21,304,27,73.40090325748906,0
P00007,2023-03-24,289,33,82.07099887489365,0
P00008,2023-03-28,284,23,73.24002197227306,1
P00009,2023-03-16,287,26,71.314367949972,0
P00010,2023-03-16,305,29,85.38997721652254,0
P00011,2023-03-29,425,25,70.86411286224316,0
P00012,2023-04-10,283,31,75.64654072139123,0
P00013,2023-01-24,284,29,83.97531279681883,1
P00014,2023-01-03,303,43,64.89331248746778,0
P00015,2023-01-22,354,32,63.808136678386305,0
P00016,2023-02-22,228,37,88.57940155650853,1
P00017,2023-01-02,322,27,69.07287996313592,0
P00018,2023-03-29,259,35,81.924324316861,1
P00019,2023-01-30,327,27,57.246789681597264,0
P00020,2023-02-07,275,37,49.96948406891332,0
P00021,2023-01-02,184,39,78.6423005834526,1
P00022,2023-03-05,318,20,73.72479348210526,0
P00023,2023-03-01,318,33,78.73631441664047,0
P00024,2023-01-21,271,21,93.74708802609838,0
P00025,2023-02-02,268,27,62.62658180087615,0
P00026,2023-03-17,234,34,75.3818789424643,1
P00027,2023-02-27,338,25,89.77466085582587,1
P00028,2023-01-22,344,25,64.0700988650334,0
P00029,2023-03-30,256,21,69.15272964227167,0
P00030,2023-02-18,273,29,57.327147959984,1
P00031,2023-04-01,296,23,97.37849259168583,1
P00032,2023-02-28,413,33,52.95459493832192,0
P00033,2023-02-11,327,35,82.98585702643442,1
P00034,2023-04-02,252,27,61.80200039219821,0
P00035,2023-03-01,315,19,64.49107767601303,0
P00036,2023-03-21,231,34,85.63953937223218,1
P00037,2023-01-15,335,23,67.57489567705557,0
P00038,2023-03-03,383,27,81.5178757122707,0
P00039,2023-03-03,383,32,88.80031583844992,0
P00040,2023-02-16,336,27,77.00696985652361,0
P00041,2023-03-03,270,34,83.89285849214163,0
P00042,2023-02-20,234,39,75.80673195602682,1
P00043,2023-02-24,229,32,76.27006085278546,0
P00044,2023-03-05,159,32,68.65070904161773,0
P00045,2023-01-03,334,29,94.28859433673126,0
P00046,2023-02-20,294,24,82.4284449411533,0
P00047,2023-01-07,345,24,80.21805274452674,0
P00048,2023-01-21,371,33,82.70294758079604,0
P00049,2023-03-14,304,42,68.22709664883656,0
P00050,2023-02-08,307,29,84.30971885852449,1
P00051,2023-01-18,276,25,90.55880781491913,0
P00052,2023-01-04,282,34,61.19302378299564,1
P00053,2023-03-30,336,37,80.41562801538353,0
P00054,2023-03-01,291,24,75.62790069833791,1
P00055,2023-01-14,284,29,69.80815063624505,0
P00056,2023-01-09,299,31,64.06744009554805,1
P00057,2023-03-31,344,34,85.51919662987979,0
P00058,2023-02-22,265,31,77.07989662924956,1
P00059,2023-01-02,296,33,72.92869996497792,0
P00060,2023-03-25,312,39,80.42382113499822,1
P00061,2023-04-02,358,30,73.72519212480881,1
P00062,2023-03-01,288,23,67.95928278252921,1
P00063,2023-03-12,264,34,76.28952047945549,0
P00064,2023-02-13,275,21,74.71994036418148,0
P00065,2023-01-08,352,26,57.25812048481636,1
P00066,2023-02-16,401,29,68.70433405224057,0
P00067,2023-02-04,234,40,62.35604998798926,0
P00068,2023-03-19,245,38,58.48597724844301,0
P00069,2023-03-22,291,29,79.6769937292262,0
P00070,2023-02-05,305,27,68.31233070170092,0
P00071,2023-02-19,339,29,85.41406295519126,0
P00072,2023-01-04,255,40,56.71403683656058,0
P00073,2023-01-02,246,23,72.02246065166774,0
P00074,2023-01-06,306,28,68.84073690723558,0
P00075,2023-02-23,287,34,59.22035325796627,1
P00076,2023-01-04,346,27,75.05087032181477,0
P00077,2023-02-23,324,45,60.09335453702067,0
P00078,2023-04-03,327,22,77.22715839622285,0
P00079,2023-03-04,294,25,82.20758759273454,1
P00080,2023-01-18,417,36,77.67553176324756,0
P00081,2023-03-31,258,16,78.9388349597587,0
P00082,2023-02-13,330,40,85.31234905074001,0
P00083,2023-02-03,236,22,74.73236598872963,0
P00084,2023-03-15,246,27,66.73972357114813,0
P00085,2023-03-03,269,32,68.91048494843875,1
P00086,2023-04-10,381,14,69.12625885301776,0
P00087,2023-01-14,313,32,64.56661298456399,0
P00088,2023-04-05,270,32,82.84211303442356,0
P00089,2023-02-17,318,23,80.26902828683373,1
